id,name,description,notificationEmail
"660e8400-e29b-41d4-a716-446655440000","TI Equipamentos","Estoque principal de equipamentos de TI para funcionários","ti.estoque@empresa.com"
"660e8400-e29b-41d4-a716-446655440001","TI Reserva","Estoque reserva para emergências e substituições rápidas","ti.reserva@empresa.com"
"660e8400-e29b-41d4-a716-446655440002","Marketing Devices","Dispositivos para equipe de Marketing e Design","marketing.assets@empresa.com"
"660e8400-e29b-41d4-a716-446655440003","Marketing Studio","Equipamentos para estúdio de criação e produção","studio.assets@empresa.com"
"660e8400-e29b-41d4-a716-446655440004","Desenvolvimento Hardware","Equipamentos para time de desenvolvimento","dev.resources@empresa.com"
"660e8400-e29b-41d4-a716-446655440005","Desenvolvimento Testing","Dispositivos para testes e homologação","dev.testing@empresa.com"
"660e8400-e29b-41d4-a716-446655440006","Suporte Técnico","Peças e equipamentos para suporte","support.stock@empresa.com"
"660e8400-e29b-41d4-a716-446655440007","Suporte Remote","Equipamentos para suporte remoto e home office","remote.support@empresa.com"
"660e8400-e29b-41d4-a716-446655440008","Executive IT","Equipamentos premium para diretoria e C-level","executive.it@empresa.com"
"660e8400-e29b-41d4-a716-446655440009","Sales Tech","Equipamentos para equipe comercial e apresentações","sales.tech@empresa.com"
