Estoque Principal,Estoque de materiais essenciais para produção diária,alertas_estoque@artemania.com.br
Matéria-Prima Crua,Insumos não processados para modelagem,alerta_cru@oficinacriativa.com
Cores Básicas,Tintas primárias e pigmentos essenciais,alertas_cores@paletacores.net
Materiais Sustentáveis,Insumos ecológicos e de origem responsável,sustentabilidade@atelierdor.com.br
Fitas Decorativas,Estoque principal de fitas e acabamentos,alertas_fitas@tecidosart.com
Formas e Moldes,Moldes profissionais para biscuit e cerâmica,formas@biscuitworld.com
Papéis Premium,Materiais de alta qualidade para arte final,premium@estudioarte.net
Pincéis Profissionais,Linha premium para técnicas avançadas,profissionais@arteexpress.com.br
Detalhes Especiais,Materiais para acabamentos refinados,detalhes@minicraft.com
Tecnologia 3D,Insumos para modelagem e impressão digital,tecnologia@esculturadigital.com
